,Ranking,,,Teams,,,W,U,N,T,D,Pkt
,1,,,FC Bayern München,,21,12,7,2,61:21:00,40,43
,2,,,Borussia Dortmund,,21,14,1,6,44:27:00,17,43
,3,,,1. FC Union Berlin,,21,13,4,4,35:24:00,11,43
,4,,,Sport-Club Freiburg,,21,12,4,5,34:31:00,3,40
,5,,,RB Leipzig,,21,11,6,4,43:26:00,17,39
,6,,,Eintracht Frankfurt,,21,11,5,5,42:29:00,13,38
,7,,,VfL Wolfsburg,,21,8,6,7,38:29:00,9,30
,8,,,Borussia Mönchengladbach,,21,8,5,8,38:35:00,3,29
,9,,,1. FSV Mainz 05,,21,8,5,8,33:34:00,-1,29
,10,,,Bayer 04 Leverkusen,,21,8,3,10,35:35:00,0,27
,11,,,SV Werder Bremen,,21,8,3,10,31:41:00,-10,27
,12,,,1. FC Köln,,21,6,8,7,32:34:00,-2,26
,13,,,FC Augsburg,,21,7,3,11,26:36:00,-10,24
,14,,,VfB Stuttgart,,21,4,7,10,26:36:00,-10,19
,15,,,TSG Hoffenheim,,21,5,4,12,29:40:00,-11,19
,16,,,VfL Bochum 1848,,21,6,1,14,24:51:00,-27,19
,17,,,Hertha BSC,,21,4,5,12,25:40:00,-15,17
,18,,,FC Schalke 04,,21,2,7,12,14:41,-27,13
